ent_fed,sexo,edad,estudiaron_licenciatura
Aguascalientes,Hombres,3,0
Aguascalientes,Hombres,4,0
Aguascalientes,Hombres,5,0
Aguascalientes,Hombres,6,0
Aguascalientes,Hombres,7,0
Aguascalientes,Hombres,8,0
Aguascalientes,Hombres,9,0
Aguascalientes,Hombres,10,0
Aguascalientes,Hombres,11,0
Aguascalientes,Hombres,12,0
Aguascalientes,Hombres,13,0
Aguascalientes,Hombres,14,0
Aguascalientes,Hombres,15,0
Aguascalientes,Hombres,16,0
Aguascalientes,Hombres,17,0
Aguascalientes,Hombres,18,827
Aguascalientes,Hombres,19,2215
Aguascalientes,Hombres,20,3538
Aguascalientes,Hombres,21,3730
Aguascalientes,Hombres,22,4119
Aguascalientes,Hombres,23,4076
Aguascalientes,Hombres,24,3922
Aguascalientes,Mujeres,3,0
Aguascalientes,Mujeres,4,0
Aguascalientes,Mujeres,5,0
Aguascalientes,Mujeres,6,0
Aguascalientes,Mujeres,7,0
Aguascalientes,Mujeres,8,0
Aguascalientes,Mujeres,9,0
Aguascalientes,Mujeres,10,0
Aguascalientes,Mujeres,11,0
Aguascalientes,Mujeres,12,0
Aguascalientes,Mujeres,13,0
Aguascalientes,Mujeres,14,0
Aguascalientes,Mujeres,15,0
Aguascalientes,Mujeres,16,0
Aguascalientes,Mujeres,17,0
Aguascalientes,Mujeres,18,1026
Aguascalientes,Mujeres,19,2793
Aguascalientes,Mujeres,20,4314
Aguascalientes,Mujeres,21,4381
Aguascalientes,Mujeres,22,4708
Aguascalientes,Mujeres,23,4453
Aguascalientes,Mujeres,24,4424
Baja California,Hombres,3,0
Baja California,Hombres,4,0
Baja California,Hombres,5,0
Baja California,Hombres,6,0
Baja California,Hombres,7,0
Baja California,Hombres,8,0
Baja California,Hombres,9,0
Baja California,Hombres,10,0
Baja California,Hombres,11,0
Baja California,Hombres,12,0
Baja California,Hombres,13,0
Baja California,Hombres,14,0
Baja California,Hombres,15,0
Baja California,Hombres,16,0
Baja California,Hombres,17,0
Baja California,Hombres,18,2463
Baja California,Hombres,19,4895
Baja California,Hombres,20,8404
Baja California,Hombres,21,8783
Baja California,Hombres,22,9549
Baja California,Hombres,23,9542
Baja California,Hombres,24,9403
Baja California,Mujeres,3,0
Baja California,Mujeres,4,0
Baja California,Mujeres,5,0
Baja California,Mujeres,6,0
Baja California,Mujeres,7,0
Baja California,Mujeres,8,0
Baja California,Mujeres,9,0
Baja California,Mujeres,10,0
Baja California,Mujeres,11,0
Baja California,Mujeres,12,0
Baja California,Mujeres,13,0
Baja California,Mujeres,14,0
Baja California,Mujeres,15,0
Baja California,Mujeres,16,0
Baja California,Mujeres,17,0
Baja California,Mujeres,18,2971
Baja California,Mujeres,19,5735
Baja California,Mujeres,20,9828
Baja California,Mujeres,21,10023
Baja California,Mujeres,22,10800
Baja California,Mujeres,23,10755
Baja California,Mujeres,24,10623
Baja California Sur,Hombres,3,0
Baja California Sur,Hombres,4,0
Baja California Sur,Hombres,5,0
